user,movie,rating
"Mason Smith","The Big Lebowski",3
"Mason Smith","The Ox-Bow Incident",4
"Mason Smith","Easy Rider",4
"Ethan Smith","Dave Matthews Band: Listener Supported",1
"Ethan Smith","The West Wing: Season 1",5
"Mason Smith","Husbands and Wives",5
"Mason Smith","Dead Man",4
"Mason Smith","Close Encounters of the Third Kind",3
"Ethan Smith","American Beauty",1
"Mason Smith","Poltergeist",2
"Mason Smith","Amadeus",3
"Mason Smith","A Raisin in the Sun",4
"Mason Smith","Life as a House",2
"Mason Smith","The Graduate",3
"Mason Smith","September",3
"Mason Smith","The Third Man",4
"Mason Smith","Pollock",4
"Mason Smith","Same Time",4
"Mason Smith","Sex and Lucia",3
"Mason Smith","Safe",2
"Mason Smith","The Man from Laramie",3
"Mason Smith","Fantasia",4
"Mason Smith","Kissed",5
"Mason Smith","Say Anything",3
"Mason Smith","Drugstore Cowboy",3
"Mason Smith","Radio Days",5
"Ethan Smith","The Terminator",1
"Mason Smith","Wayne's World 2",1
"Mason Smith","That Touch of Mink",3
"Mason Smith","Star Wars: Episode IV: A New Hope",3
"Ethan Smith","Lost in Space",2
"Mason Smith","Crouching Tiger",4
"Mason Smith","The Shop Around the Corner",3
"Mason Smith","Planet of the Apes",3
"Mason Smith","Kindergarten Cop",2
"Ethan Smith","Big Momma's House",1
"Ethan Smith","Beethoven",1
"Mason Smith","Will Penny",4
"Ethan Smith","Good Morning",1
"Mason Smith","The Birdcage",3
"Mason Smith","Dangerous Beauty",3
"Mason Smith","Meet Joe Black",3
"Mason Smith","An Affair of Love",3
"Ethan Smith","Murder By Numbers",2
"Mason Smith","West Side Story",3
"Mason Smith","American Gigolo",3
"Mason Smith","K-Pax",3
"Mason Smith","My Left Foot: Special Edition",4
"Mason Smith","Unforgiven",4
"Mason Smith","A Few Good Men",3
"Mason Smith","Baraka",5
"Mason Smith","Highlander",2
"Mason Smith","American Splendor",3
"Mason Smith","Stardust Memories",4
"Mason Smith","Sex and the City: Season 6: Part 1",4
"Mason Smith","Dirty Harry",4
"Mason Smith","Mona Lisa",2
"Mason Smith","Maverick",2
"Mason Smith","Take the Money and Run",4
"Mason Smith","Kagemusha",3
"Mason Smith","Bridget Jones: The Edge of Reason",1
"Mason Smith","Indiana Jones and the Last Crusade",4
"Mason Smith","Halloween",2
"Mason Smith","Always",1
"Mason Smith","The Killers: Criterion Collection",2
"Mason Smith","Dune",3
"Mason Smith","Akira Kurosawa's Dreams",4
"Mason Smith","Jules and Jim",2
"Mason Smith","Coupling: Season 4",3
"Mason Smith","The Rules of the Game",5
"Mason Smith","Cape Fear",3
"Mason Smith","The Life Aquatic with Steve Zissou",1
"Mason Smith","Bird",3
"Mason Smith","Following",3
"Mason Smith","Xanadu",2
"Mason Smith","The King is Alive",4
"Mason Smith","Malcolm X",4
"Mason Smith","Dumbo",3
"Mason Smith","E.T. the Extra-Terrestrial: The 20th Anniversary (Rerelease)",3
"Mason Smith","Metropolis",5
"Mason Smith","Zelig",4
"Ethan Smith","Deep Impact",4
"Mason Smith","The River",2
"Mason Smith","The Stunt Man",4
"Mason Smith","Secretary",5
"Mason Smith","Europa Europa",3
"Mason Smith","The Treasure of the Sierra Madre",4
"Mason Smith","The Outlaw Josey Wales",4
"Ethan Smith","Six Feet Under: Season 1",5
"Mason Smith","Bob Roberts",4
"Mason Smith","Anchors Aweigh",3
"Ethan Smith","The Life of David Gale",1
"Mason Smith","Northern Exposure: Season 2",4
"Mason Smith","Reservoir Dogs",4
"Mason Smith","Harry Potter and the Sorcerer's Stone",4
"Mason Smith","Trainspotting",2
"Mason Smith","Shoot the Piano Player",4
"Ethan Smith","Apollo 13",2
"Mason Smith","Interiors",4
"Mason Smith","Derrida",5
"Mason Smith","Lethal Weapon",2
"Mason Smith","L'Age D'Or",5
"Mason Smith","Rosemary's Baby",3
"Mason Smith","Eternal Sunshine of the Spotless Mind",3
"Ethan Smith","The Nutty Professor II: The Klumps",1
"Ethan Smith","Pearl Harbor",3
"Mason Smith","The Amityville Horror",2
"Mason Smith","Four Weddings and a Funeral",3
"Mason Smith","Nijinsky",3
"Mason Smith","Shane",2
"Mason Smith","Omen III: The Final Conflict",3
"Mason Smith","K-9",1
"Noah Smith","Raiders of the Lost Ark",4
"Noah Smith","Indecent Proposal",5
"Noah Smith","Father of the Bride 2",4
"Noah Smith","The League of Extraordinary Gentlemen",3
"Noah Smith","American Pie 2",4
"Noah Smith","The Girl Next Door",3
"Noah Smith","MTV: Jackass",4
"Noah Smith","My Best Friend's Wedding",4
"Noah Smith","Road Trip",5
"Noah Smith","Oldboy",3
"Noah Smith","We Were Soldiers",5
"Noah Smith","Coach Carter",4
"Noah Smith","Taxi Driver",4
"Noah Smith","U-571",4
"Noah Smith","Ace Ventura: Pet Detective",4
"Noah Smith","Radio",5
"Noah Smith","Pulp Fiction",5
"Noah Smith","Meet the Fockers",4
"Noah Smith","Secondhand Lions",4
"Noah Smith","Maid in Manhattan",3
"Noah Smith","21 Grams",4
"Noah Smith","Simon Birch",4
"Noah Smith","The Princess Diaries (Widescreen)",3
"Noah Smith","Forrest Gump",5
"Noah Smith","American Pie",5
"Noah Smith","Airplane!",4
"Noah Smith","The Wedding Planner",4
"Noah Smith","The Sopranos: Season 5",5
"Noah Smith","Million Dollar Baby",5
"Noah Smith","Three Men and a Baby",3
"Noah Smith","Primal Fear",4
"Mason Smith","Being John Malkovich",5
"Noah Smith","The Jerk",5
"Noah Smith","Coming to America",4
"Noah Smith","Twister",4
"Noah Smith","Behind Enemy Lines",4
"Noah Smith","Boys Don't Cry",3
"Noah Smith","National Lampoon's Animal House",5
"Noah Smith","John Q",5
"Noah Smith","Dr. Dolittle 2",3
"Noah Smith","After the Sunset",3
"Noah Smith","Schindler's List",4
"Noah Smith","Men in Black",4
"Noah Smith","The Aviator",4
"Noah Smith","S.W.A.T.",4
"Noah Smith","Troy",5
"Noah Smith","Coyote Ugly",4
"Noah Smith","Austin Powers: International Man of Mystery",3
"Noah Smith","Blazing Saddles",3
"Noah Smith","True Lies",3
"Noah Smith","The Count of Monte Cristo",2
"Noah Smith","Blue Streak",4
"Noah Smith","Rocky IV",4
"Noah Smith","Never Been Kissed",4
"Noah Smith","Cheech & Chong's Still Smokin",3
"Noah Smith","Office Space",3
"Noah Smith","Fast Times at Ridgemont High",4
"Noah Smith","Summer Rental",4
"Noah Smith","Gladiator",5
"Noah Smith","The First Wives Club",4
"Noah Smith","Cast Away",5
"Mason Smith","The Color of Money",3
"Noah Smith","Tears of the Sun",5
"Noah Smith","Hook",3
"Noah Smith","The Notebook",5
"Noah Smith","Enemy of the State",4
"Noah Smith","The Recruit",5
"Noah Smith","Monty Python and the Holy Grail",4
"Noah Smith","Exorcist: The Beginning",3
"Noah Smith","The Naked Gun",4
"Noah Smith","How to Lose a Guy in 10 Days",4
"Noah Smith","The Shawshank Redemption: Special Edition",5
"Noah Smith","You've Got Mail",5
"Noah Smith","Analyze That",4
"Noah Smith","The Waterboy",5
"Noah Smith","Austin Powers: The Spy Who Shagged Me",3
"Noah Smith","Beetlejuice",3
"Noah Smith","Ron White: They Call Me "Tater Salad"",5
"Noah Smith","Dead Poets Society",4
"Mason Smith","Buffalo '66",4
"Noah Smith","Without a Paddle",4
"Noah Smith","Three Amigos",4
"Noah Smith","Monster",4
"Noah Smith","City Slickers",4
"Noah Smith","Grease",4
"Noah Smith","National Lampoon's Van Wilder",4
"Noah Smith","My Girl",4
"Noah Smith","Miracle",5
"Noah Smith","Independence Day",4
"Noah Smith","The Day After Tomorrow",3
"Noah Smith","Dazed and Confused",4
"Mason Smith","What Women Want",2
"Noah Smith","Traffic",4
"Noah Smith","A Perfect Murder",4
"Noah Smith","Man of the House",4
"Noah Smith","Black Sheep",5
"Noah Smith","Sweet Home Alabama",3
"Noah Smith","Big",4
"Noah Smith","Raw",4
"Noah Smith","Changing Lanes",4
"Noah Smith","Remember the Titans",5
"Noah Smith","Blue Collar Comedy Tour: The Movie",4
"Noah Smith","The Graduate",4
"Noah Smith","The Replacements",4
"Noah Smith","Miss Congeniality 2: Armed and Fabulous",4
"Noah Smith","Father of the Bride",4
"Noah Smith","Assault on Precinct 13",5
"Noah Smith","Kindergarten Cop",3
"Noah Smith","Snowball Express",4
"Noah Smith","Hide and Seek",4
"Noah Smith","Nine to Five",3
"Noah Smith","Grumpy Old Men",4
"Noah Smith","The Last of the Mohicans",5
"Noah Smith","A Few Good Men",5
"Noah Smith","Old School",5
"Noah Smith","Anger Management",4
"Noah Smith","Indiana Jones and the Last Crusade",3
"Noah Smith","Wimbledon",4
"Noah Smith","Confessions of a Dangerous Mind",3
"Noah Smith","Gothika",3
"Noah Smith","Saving Private Ryan",5
"Noah Smith","Me",5
"Noah Smith","Legally Blonde",3
"Noah Smith","Hitch",5
"Noah Smith","Full Metal Jacket",5
"Noah Smith","The Terminal",5
"Noah Smith","The Five People You Meet in Heaven",5
"Noah Smith","Requiem for a Dream",4
"Noah Smith","Sixteen Candles",3
"Noah Smith","The Man Show: Season 1: Vol. 2",4
"Noah Smith","Lethal Weapon",4
"Noah Smith","Pirates of the Caribbean: The Curse of the Black Pearl",5
"Noah Smith","50 First Dates",3
"Mason Smith","On Golden Pond",3
"Noah Smith","Liar Liar",4
"Noah Smith","Nothing to Lose",3
"Noah Smith","What Women Want",4
"Noah Smith","The Hurricane",4
"Noah Smith","Collateral Damage",3
"Noah Smith","Super Size Me",4
"Mason Smith","Undertow",4
"Noah Smith","Planes",4
"Noah Smith","Wayne's World",4
"Noah Smith","Look Who's Talking",3
"Noah Smith","Taxi",3
"Noah Smith","Naked Gun 2 1/2: The Smell of Fear",3
"Noah Smith","Braveheart",5
"Noah Smith","The Silence of the Lambs",5
"Noah Smith","Finding Neverland",3
"Noah Smith","Something's Gotta Give",4
"Noah Smith","Little Nicky",2
"Noah Smith","Pay It Forward",5
"Noah Smith","Guarding Tess",3
"Noah Smith","Half Baked",3
"Noah Smith","The Godfather",5
"Mason Smith","Joe Versus the Volcano",3
"Noah Smith","Men in Black II",3
"Noah Smith","Forever Young",3
"Mason Smith","The Omen",3
"Noah Smith","Beaches",4
"Mason Smith","Heart of Glass",5
"Mason Smith","The Bourne Supremacy",3
"Noah Smith","The Sum of All Fears",4
"Noah Smith","The Toy",5
"Noah Smith","Bruce Almighty",4
"Noah Smith","Garden State",3
"Noah Smith","Police Academy: Special Edition",5
"Noah Smith","Hostage",5
"Noah Smith","Patch Adams",5
"Mason Smith","North by Northwest",3
"Mason Smith","Primer",3
"Mason Smith","Small Time Crooks",2
"Noah Smith","The Sixth Sense",5
"Noah Smith","In Good Company",4
"Noah Smith","Road to Perdition",5
"Noah Smith","Porky's",5
"Noah Smith","The Italian Job",4
"Mason Smith","Like Water for Chocolate",3
"Mason Smith","A Fistful of Dollars",2
"Mason Smith","This Is Spinal Tap",4
"Noah Smith","Erin Brockovich",5
"Noah Smith","Deuce Bigalow: Male Gigolo",4
"Noah Smith","Heat: Special Edition",5
"Noah Smith","Bringing Down the House",3
"Noah Smith","The Cannonball Run",5
"Noah Smith","Rush Hour 2",3
"Noah Smith","Paycheck",4
"Noah Smith","The Great Outdoors",4
"Mason Smith","The Glass Menagerie",3
"Noah Smith","Gone in 60 Seconds",4
"Noah Smith","Fever Pitch",5
"Noah Smith","Seabiscuit",4
"Noah Smith","Mystery",5
"Noah Smith","What Lies Beneath",4
"Noah Smith","Constantine",3
"Noah Smith","Blue Collar Comedy Tour Rides Again",5
"Mason Smith","Stuart Little 2",2
"Noah Smith","The Longest Yard",4
"Mason Smith","Sullivan's Travels",3
